link,pdf_links
https://www.bnm.gov.my/-/concept-paper-3-anti-money-laundering-and-counter-financing-of-terrorism-aml/cft-money-services-business-sector,['documents/20124/761700/CP3_022_4.pdf']
https://www.bnm.gov.my/-/concept-paper-on-anti-money-laundering-and-counter-financing-of-terrorism-aml/cft-designated-non-financial-businesses-and-professions-dnfbps-other-non-financial-sectors,['documents/20124/761700/CP5_DNFBPS_Others.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-march-2013-issue-is-now-available-for-download,['documents/20124/761700/Ringgit_mar2013.pdf']
https://www.bnm.gov.my/-/newly-published-concept-paper-on-murabahah-operational-requirements-,['documents/20124/761700/20131220_S_G_0007.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-february-2013-issue-is-now-available-for-download,['documents/20124/761700/Ringgit+Ed34+Feb+2013+%28Draft5%29.pdf']
https://www.bnm.gov.my/-/newly-published-guidelines-on-agent-oversight-framework-for-the-money-services-business-industry,[]
https://www.bnm.gov.my/-/response-to-feedback-received-single-counterparty-exposure-limit,['documents/20124/761700/Response_to_feedback_Single_Counterparty_Exposure_Limit.pdf']
https://www.bnm.gov.my/-/response-to-feedback-received-concept-paper-on-recordkeeping-and-reporting-requirements-for-over-the-counter-otc-derivatives,['documents/20124/761700/Response_to_CP_on_OTC_Derivatives.pdf']
https://www.bnm.gov.my/-/briefing-slides-are-now-available-for-download,[]
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-programme-2013-/-2014-nurturing-excellent-talents,[]
https://www.bnm.gov.my/-/ringgit-newsletter-january-2013-issue-is-now-available-for-download,['documents/20124/761700/Ringgit+Ed33+Jan+2013+%28Draft7%29.pdf']
https://www.bnm.gov.my/-/newly-published-policy-on-risk-governance,"['documents/20124/761700/Response_to_industry_feedback_Risk_Governance.pdf', 'documents/20124/761700/gl_013_5.pdf']"
https://www.bnm.gov.my/-/newly-published-policies-on-single-counterparty-exposure-limit-and-single-counterparty-exposure-limit-for-islamic-banks.,"['documents/20124/761700/08_SCEL_28022013.pdf', 'documents/20124/761700/09_SCEL_Islamic_Banks_28022013.pdf']"
https://www.bnm.gov.my/-/ringgit-newsletter-december-2012-issue-is-now-available-for-download,['documents/20124/761700/Ringgit+Ed32+Draft3_Dec2012.pdf']
https://www.bnm.gov.my/-/newly-published-guidelines-on-ibra-rebate-for-sale-based-financing,['documents/20124/761700/20110111_DFI_PL_0008.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-november-2012-issue-is-now-available-for-download,['documents/20124/761700/Ringgit_09_2012_03.pdf']
https://www.bnm.gov.my/-/payment-card-reform-23122014,['documents/20124/761697/Payment_Card_Reform_Framework.pdf']
https://www.bnm.gov.my/-/repurchase-agreement-transactions-19122014,['documents/20124/761697/Repurchase_Agreement_Transactions.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-october-2014-issue-is-now-available-for-download.,['documents/20124/761697/Ringgit+Ed54+Oct+2014+v3.pdf']
https://www.bnm.gov.my/-/bnm-to-host-the-bnm-economics-research-workshop-2014-on-the-structural-challenges-of-achieving-sustained-and-inclusive-growth-,['documents/20124/761697/BNM_Research_Workshop_2014_Agenda.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-september-2014-issue-is-now-available-for-download.,['documents/20124/761697/Ringgit+Ed53+Sep+2014+v9.pdf']
https://www.bnm.gov.my/-/concept-paper-on-management-of-participating-life-policy-business,['documents/20124/761697/CP_Participating_Life_Policy_Business_20141127.pdf']
https://www.bnm.gov.my/-/capital-adequacy-framework-for-financial-holding-companies-discussion-paper,['documents/20124/761697/Discussion_Paper_Capital_Adequacy_Framework_FHC.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-august-2014-issue-is-now-available-for-download.,['documents/20124/761697/Ringgit+Ed52+Aug+2014+v5.pdf']
https://www.bnm.gov.my/-/circular-pursuant-to-the-coming-into-force-of-the-amendments-to-the-amlatfa-1,['documents/20124/761697/Circular+030-4.pdf']
https://www.bnm.gov.my/-/circular-pursuant-to-the-anti-money-laundering-and-anti-terrorism-financing-security-council-resolution-al-qaida-and-taliban-amendment-order-2014-1,['documents/20124/761697/Circular+030-3.pdf']
https://www.bnm.gov.my/-/concept-paper-on-payment-card-reform-framework-1,['documents/20124/761697/CP_Payment_Card_Reform_Framework.pdf']
https://www.bnm.gov.my/-/download-the-2015-budget-speech-by-prime-minister-of-malaysia,['documents/20124/761697/budget2015_en.pdf']
https://www.bnm.gov.my/-/information-on-e-payment-services-and-fees-1,[]
https://www.bnm.gov.my/-/concept-paper-on-liquidity-coverage-ratio,['documents/20124/761697/Concept+Paper_Liquidity+Coverage+Ratio.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-july-2014-issue-is-now-available-for-download.,['documents/20124/761697/Ringgit+Ed51+July+2014+v5.pdf']
https://www.bnm.gov.my/-/concept-paper-compliance,['documents/20124/761697/cp_028_12.pdf']
https://www.bnm.gov.my/-/malaysia-has-been-selected-to-host-afi-network-s-new-headquarters,[]
https://www.bnm.gov.my/-/call-for-public-feedback-consultation-paper-on-the-netting-of-financial-agreements-bill,['documents/20124/761697/Public_Consultation_NFA_20140909.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-june-2014-issue-is-now-available-for-download.,['documents/20124/761697/Ringgit+Ed50+Jun+2014+v4.pdf']
https://www.bnm.gov.my/-/enhancement-of-the-chiang-mai-initiative-multilateralisation,['documents/20124/761697/CMIM_attachment1.pdf']
https://www.bnm.gov.my/-/circular-pursuant-to-section-83-of-the-anti-money-laundering-and-anti-terrorism-financing-act-2001-amlatfa-on-the-recent-public-statement-issued-by-the-fatf,['documents/20124/761697/Sect83_AML_AMLATFA_July14.pdf']
https://www.bnm.gov.my/-/enhancement-of-the-policy-and-guidelines-of-the-small-debt-resolution-scheme-sdrs-,[]
https://www.bnm.gov.my/-/sac-148th-meeting,[]
